count,software,version
5854,mastodon,4.0.2
1372,mastodon,3.5.3
678,wordpress,6.1.1
340,peertube,4.3.1
323,pleroma,2.4.4
281,mastodon,4.0.1
275,peertube,4.3.0
268,misskey,12.119.0
265,pixelfed,0.11.4
245,writefreely,0.13.2
194,mastodon,3.1.3
179,peertube,4.2.2
163,friendica,2022.10-1484
154,writefreely,0.13.1
151,mastodon,4.0.2+glitch
133,mastodon,3.5.5
114,pleroma,2.4.3
102,mastodon,3.5.1
95,owncast,0.0.12
92,mastodon,4.0.1+glitch
87,mastodon,4.0.0
85,mastodon,3.4.6
81,hometown,1.0.7+3.5.5
80,mastodon,4.0.0rc2
73,mastodon,3.3.0
63,wordpress,6.0.3
63,mastodon,3.4.1
61,peertube,4.1.1
61,mastodon,3.5.2
55,pleroma,2.4.2
53,birdsitelive,0.20.0
47,peertube,3.4.1
45,friendica,2022.06-1469
43,mastodon,3.4.4
43,akkoma,3.4.0
41,pixelfed,0.11.3
40,lemmy,0.16.7
40,funkwhale,1.2.8+git.fb10d1a3
36,mastodon,4.0.0rc3
36,akkoma,3.4.0-0-gf91b89673
34,microblogpub,2.0.0+dev
34,mastodon,4.0.0rc1
34,mastodon,3.5.3+glitch
31,Mobilizon,3.0.1
29,pleroma,2.4.1
29,peertube,4.0.0
29,mastodon,3.2.0
27,peertube,4.2.0
24,writefreely,
24,hubzilla,7.8.6
24,diaspora,0.7.18.1-p52f206fa
24,calckey,12.119.0-calc.17
23,peertube,3.0.1
23,friendica,2022.03-1452
22,writefreely,0.12.0
22,plume,0.7.2
22,pleroma,2.4.53-863-g9f708037
22,misskey,12.118.1
22,funkwhale,1.2.8
22,Mobilizon,2.1.0
21,pleroma,2.4.53-1957-g4f61f19f.develop+soapbox
21,pleroma,2.4.5-2-gd8e32646
21,pleroma,2.3.0-1-gb221d77a
21,peertube,3.1.0
21,peertube,2.4.0
21,Mobilizon,3.0.0
19,pleroma,2.4.53-1901-gaa926ce3.develop+soapbox
19,mastodon,3.1.4
19,Owncast,0.0.11
19,Mobilizon,2.0.2
18,mastodon,3.0.1
18,foundkey,13.0.0-preview2
18,diaspora,0.7.17.0-p02eba842
17,pixelfed,0.11.2
16,peertube,4.1.0
16,misskey,12.110.1
16,mastodon,3.4.3
15,hometown,1.0.6+3.5.2
14,wordpress,5.9.5
14,bookwyrm,0.5.2
13,misskey,12.117.1
13,mastodon,3.2.1
13,gancio,1.5.6
13,diaspora,0.7.18.0-p9485a026
13,diaspora,0.7.15.0-p1d098282
13,activityrelay,0.2.2
12,wordpress,6.1
12,peertube,3.2.1
12,owncast,0.0.13
12,mastodon,3.5.3~hello
12,mastodon,3.4.0
12,bookwyrm,0.5.1
11,plume,0.7.3-dev
11,pleroma,2.4.53-912-g7f0b3161-develop
11,peertube,3.3.0
11,mastodon,4.0.0rc2+glitch
11,friendica,2021.09-1434
11,birdsitelive,0.19.1+pasture
10,pleroma,2.3.0
10,peertube,3.4.0
10,mastodon,3.5.4
10,mastodon,3.5.0
10,hubzilla,7.6.1
10,funkwhale,1.1.4
10,friendica,2022.12-dev-1488
10,friendica,2021.01-1384
9,wordpress,5.8.6
9,pleroma,2.4.53-904-gbb63f72c-develop
9,peertube,3.0.0
9,mastodon,3.4.10
9,lemmy,0.16.4
9,lemmy,0.16.3
9,ecko,3.4.9001
9,activityrelay,0.2.2 729477820fec4ac29e232eabc1a8421e088b945c
8,wordpress,6.0.2
8,peertube,4.2.1
8,peertube,2.3.0
8,owncast,0.0.13-docker
8,mastodon,3.1.5
8,lemmy,0.16.6
8,gancio,1.6.0-rc2
8,funkwhale,1.2.5
8,friendica,2022.12-dev-1491
8,calckey,12.119.0-calc.17.9
8,bookwyrm,0.4.6
7,wordpress,6.0
7,plume,0.7.1
7,pleroma,2.4.53-906-gf40ccce7-develop
7,pleroma,2.4.53-1896-g332b96b0.develop+soapbox
7,pixelfed,0.11.0
7,misskey,12.108.1
7,mastodon,4.0.0rc1+glitch
7,mastodon,3.1.2
7,hubzilla,7.8.3
7,hometown,3.4.6+1.0.5
7,hometown,1.0.5+3.5.2
7,gotosocial,0.5.2 git-c31f219
7,gnusocial,2.0.1-beta0
7,funkwhale,1.2.7+git.ffe306ed
7,diaspora,0.7.14.0-p4ca68a71
7,bookwyrm,0.4.5
7,akkoma,3.4.0-117-gde1bbc02-develop
6,pleroma,2.4.53-899-g0e1356ef-develop
6,pleroma,2.4.53-867-g481f50bc-develop
6,pleroma,2.4.53-1991-g7a145177.develop+soapbox
6,pleroma,2.4.53-1986-g13c61e59.develop+soapbox
6,pleroma,2.4.5
6,pixelfed,0.11.1
6,pixelfed,0.10.10
6,mastodon,4.0.0rc4
6,mastodon,3.4.8
6,mastodon,3.4.7
6,funkwhale,1.2.9+git.817c8fbc
6,friendica,2022.12-dev-1490
6,friendica,2022.12-dev-1486
6,friendica,2022.02-1449
6,friendica,2021.07-1424
6,friendica,2020.03-1338
6,foundkey,13.0.0-preview.1
6,diaspora,0.7.12.0-p09a425cb
6,activity-relay,
6,Friendica,2019.12-1327
5,pleroma,2.4.53-1849-g67783345.develop+soapbox
5,pleroma,2.4.53-1829-g044719737.develop+soapbox
5,pleroma,2.1.2
5,peertube,2.2.0
5,peertube,2.1.1
5,microblogpub,2.0.0+578581b4
5,mastodon,4.0.2-donte
5,mastodon,3.5.1+glitch
5,mastodon,3.3.2
5,ktistec,2.0.0-3
5,funkwhale,1.0
5,friendica,2022.12-dev-1493
5,friendica,2021.04-1413
5,diaspora,0.7.15.0
5,akkoma,3.4.0-135-ga8f3cf65-develop
5,akkoma,3.3.1-45-g16a31872-develop
5,activityrelay,0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5
4,writefreely,0.13.0
4,wordpress,5.7.8
4,plume,0.6.1-dev
4,plume,0.4.0
4,pleroma,2.4.53-865-g8d704d38-develop
4,pleroma,2.4.53-1989-gcce90832.develop+soapbox
4,pleroma,2.4.53-1961-geca1f581.develop+soapbox
4,pleroma,2.2.2
4,pleroma,2.2.1
4,owncast,dev
4,misskey,2021.12.2
4,misskey,12.120.0-alpha.7
4,misskey,12.110.0
4,misskey,10.102.602-m544
4,mastodon,4.0.2+glitch_1119_e0e7a09
4,mastodon,4.0.1+glitch+th
4,mastodon,3.4.6+glitch
4,mastodon,3.4.5
4,mastodon,3.4.3+glitch
4,mastodon,3.1.1
4,mastodon,3.0.2
4,ktistec,2.0.0-4
4,hubzilla,7.8.4
4,hubzilla,4.6
4,goblog,
4,gnusocial,2.0.0-dev
4,gitea,1.17.3
4,funkwhale,1.2.9
4,funkwhale,1.2.3+git.dc35000d
4,funkwhale,1.2.3
4,diaspora,0.7.17.0
4,akkoma,3.3.1
4,activityrelay,0.2.3
4,activityrelay,0.2.0 ???
4,activity-relay,v1.1.1
4,Mobilizon,3.0.0-dirty
4,Immers Space,3.6.0
3,writefreely,0.8.1
3,wordpress,6.0.1
3,wordpress,5.4.12
3,plume,0.6.0
3,pleroma,2.4.55-917-g36789986-develop
3,pleroma,2.4.52-1759-g512398a5.develop+soapbox
3,pleroma,2.4.52-1753-g64efa18c.develop+soapbox
3,pleroma,2.4.52-1748-g98ccf6cb.develop+soapbox
3,pleroma,2.4.2-8-gb34f0a6e-release-2-4-2
3,pleroma,2.4.0-516-gdc63aaf8
3,pleroma,2.4.0
3,pleroma,2.0.7-stable
3,pleroma,1.0.6
3,mitra,1.6.0
3,misskey,12.97.1
3,misskey,12.107.0
3,misskey,12.101.1
3,misskey,11.37.1-20221123062651
3,mastodon,4.0.2~moew
3,mastodon,4.0.2-asonix-changes
3,mastodon,4.0.2+simpreative.221122.c
3,mastodon,3.5.5+glitch
3,mastodon,3.5.0+glitch
3,mastodon,3.2.2
3,mastodon,3.0.0
3,lotide,0.13.0-dev
3,hubzilla,7.8
3,hubzilla,7.2.2
3,hubzilla,6.0.1
3,honk,develop
3,groundpolis,2022.07.03
3,gancio,1.4.4
3,funkwhale,1.2.0
3,fedibird,0.1
3,epicyon,0.0.0
3,drupal,1.0.0-alpha3
3,diaspora,0.7.16.0-p82291ed7
3,diaspora,0.7.13.0-pc2a991fe
3,cherrypick,12.119.0-cp-3.0.0
3,calckey,12.119.0-calc.15.5
3,calckey,12.119.0-calc.15
3,brighteon,3.4.6
3,aoderelay,v0.3.66-HEAD-89a9e20d4ad3474eacf1b66f2a5799f7c90876de
3,akkoma,3.4.0-95-g19272be0-develop
3,akkoma,3.4.0-104-g9deae8c5-develop
3,akkoma,3.3.1-0-gaf90a4e51
3,activityrelay,0.2.3 6e494ee67117bcb0abf964ecb824ae6602722cc6
3,activity-relay,v1.1.0
3,activity-relay,v1.0.0
3,Mobilizon,2.1.0-dirty
3,Immers Space,4.0.1
2,zap,22.09.25
2,wxwClub,0.0.5
2,wordpress,6.2-alpha-54888
2,wordpress,5.9.3
2,wordpress,4.9.20
2,takahe,0.4.0
2,plume,0.3.0
2,pleroma,2.4.55-921-g20790c1d-develop
2,pleroma,2.4.53-888-g3d1828f4-develop
2,pleroma,2.4.53-885-gca420719-wgdevelop
2,pleroma,2.4.53-863-g9f708037-develop
2,pleroma,2.4.53-855-gda0ef154-develop
2,pleroma,2.4.53-855-gda0ef154
2,pleroma,2.4.53-851-g7a519b6a-develop
2,pleroma,2.4.52-836-g3f1c31b7-develop
2,pleroma,2.4.52-1755-g54daefae.develop+soapbox
2,pleroma,2.4.51-472-g8517bc18
2,pleroma,2.4.3+dev
2,pleroma,2.4.1-0-gd0ca9bcaa-hostdon-latest
2,pleroma,2.3.50-197-g115673bc-develop
2,pleroma,2.0.3-stable
2,pixelfed,0.10.9
2,peertube,5.0.0-rc.1
2,peertube,4.3.1-nightly-2022-11-29
2,peertube,4.3.0-rc.1
2,peertube,3.2.0
2,peertube,1.3.0
2,misskey,12.91.0
2,misskey,12.120.0-simkey-alpha.6-b1
2,misskey,12.119.0-posky-12.11.2
2,misskey,12.119.0-22.09.2
2,misskey,12.119.0+klapy
2,misskey,12.117.0
2,misskey,12.111.1
2,misskey,10.102.603-m544
2,microblogpub,Microblog.pub 669fec0
2,microblogpub,2.0.0+ynh1
2,microblogpub,2.0.0+afd253a1
2,microblogpub,2.0.0+a435cd33
2,mastodon,4.0.2notalive
2,mastodon,4.0.2-plusminus.15
2,mastodon,4.0.2+glitch_1126_6517b7b
2,mastodon,4.0.2+glitch_1117_8c56441
2,mastodon,4.0.2+glitch+freaku
2,mastodon,4.0.2+aethy
2,mastodon,4.0.0rc4+glitch
2,mastodon,3.5.3~island
2,mastodon,3.5.2+glitch
2,mastodon,3.5.0rc1+glitch
2,mastodon,3.4.6+cs
2,mastodon,3.4.10+glitch+atsu1125
2,mastodon,3.4.1+glitch
2,mastodon,3.3.3
2,mastodon,3.2.0+glitch
2,mastodon,3.1.0rc2
2,lemmy,0.16.1
2,ktistec,1.0.0
2,kbin,0.10.1
2,hubzilla,7.9.9
2,hubzilla,7.0.3
2,hubzilla,6.4.2
2,hubzilla,5.2.2
2,hubzilla,4.4.1
2,gnusocial,2.0.0-beta0
2,gitea,1.16.8
2,funkwhale,1.2.8+git.e3c81ca3
2,funkwhale,1.2.8+git.d24f6fbc
2,funkwhale,1.2.7
2,funkwhale,1.2.2+git.ddb7023f
2,funkwhale,1.1.2+git.ea4be336
2,funkwhale,1.1.2
2,funkwhale,1.0.1+git.68bc76bc
2,friendica,3.5.2-1227
2,friendica,2022.09-dev-1481
2,friendica,2021.12-rc-1448
2,friendica,2021.12-rc-1445
2,friendica,2020.09-1-1369
2,friendica,2020.07-1355
2,dolphin,1.4.0-20220709205730
2,diaspora,0.7.18.0-p7f1c57ff
2,diaspora,0.7.18.0
2,diaspora,0.7.14.0
2,diaspora,0.7.10.0-p663da1ef
2,bookwyrm,0.2.0
2,bonfire,0.3.6--beta.7
2,birdsitelive,0.18.0
2,aoderelay,v0.3.66
2,aoderelay,v0.3.61-HEAD-c3b50bc94ee47e4e5bfb24df48b3da6cf3ed9219
2,aoderelay,v0.3.50-main-10777c32abd34520cc11d024bea8f9f8f94b6fde
2,aoderelay,v0.3.34-HEAD-e37314355e321d9db95d15b455e4a46343d4bd3e
2,akkoma,3.4.0-121-g2fe1484e-develop
2,akkoma,3.4.0-109-gfb5f846e-develop
2,akkoma,3.4.0-100-g2a1f17e3-develop
2,activityrelay,0.2.0 454f46f04b4caba93b097aebd3c67d7724782d13
2,activityrelay,0.1 970102809dd7c65518c3174140dc6e28604fe5f7
2,activityrelay,0.1 1e8acd3c0b474725df1c19f67eeddfed34cd079d
2,activity-relay,v1.2.0
2,activity-relay,v1.1.2rc1
2,activity-relay,v1.1.2
2,Coma,v0.0.1
1,writefreely,0.8.1-18-g372b4e5
1,writefreely,0.2.1-1403-ge1df1fe
1,writefreely,0.13.1-6-g8d0e49d
1,writefreely,0.13.1-5-g97a5121
1,writefreely,0.13.1-5-g46bb8e6
1,writefreely,0.13.0rc1
1,writefreely,0.12.0-277-g967ee96
1,writefreely,0.12.0-173-g53ea85d
1,writefreely,0.11.2
1,writefreely,0.10.0
1,wordpress,5.9
1,wordpress,5.8.4
1,wordpress,5.5.9
1,wordpress,5.3.14
1,woox,1.0
1,video4b_prtb,4.3.0
1,unciarelay,0.1.1
1,tksm,1.0.0
1,takesama,1.1.0
1,socialhome,0.16.0-dev
1,smithereen,0.4.4-dev.11+b773930d
1,smithereen,0.4.4
1,sequel,0.13.0
1,selective-relay,0.2.0
1,revolver,0.0.0.0.0.0.0.0.0.0.1
1,reel2bits,0.0.1
1,pub-relay,0.2.0-m1
1,pub-relay,0.2.0
1,psh,2.0.0
1,plume,0.7.1-dev
1,plume,0.7.0
1,pleroma,Pleroma 0.9.0 d93789dfde3c44c76a56732088a897ddddfe9716
1,pleroma,Pleroma 0.9.0 6b6a63e78a4be703b36281f052f15e34bdfbd99f
1,pleroma,2.4.55-0-g20790c1-develop
1,pleroma,2.4.53-924-g68f34b2f-develop
1,pleroma,2.4.53-920-g8c377339-refusaldevelop
1,pleroma,2.4.53-918-g79158728-securomoe-http-signature-statistics
1,pleroma,2.4.53-917-g410209e6-develop
1,pleroma,2.4.53-915-g9e57735f-develop
1,pleroma,2.4.53-914-g3b289a16-develop
1,pleroma,2.4.53-912-g7f0b3161
1,pleroma,2.4.53-9048-g0f77643d-shitposterclub
1,pleroma,2.4.53-901-g5a398663-meilisearch
1,pleroma,2.4.53-899-g0e1356ef
1,pleroma,2.4.53-894-ga2db64b1-develop
1,pleroma,2.4.53-893-gf5f7184b-develop
1,pleroma,2.4.53-883-g1b0e47b7-develop
1,pleroma,2.4.53-880-gf0644cbb-finch-everywhere-promex-unboundedfix
1,pleroma,2.4.53-877-g7c8618dc-develop
1,pleroma,2.4.53-875-gf2d34529
1,pleroma,2.4.53-858-g3a1b3825-yukiho
1,pleroma,2.4.53-853-g9fbf01f7-develop
1,pleroma,2.4.53-851-g7a519b6a
1,pleroma,2.4.53-845-g8042e0eb-develop
1,pleroma,2.4.53-845-g8042e0eb
1,pleroma,2.4.53-8223-ga7f0d18a-neckbeard
1,pleroma,2.4.53-5925-g447bfcdb-shigusegubu
1,pleroma,2.4.53-2053-gac602c6f.gleasonator+soapbox
1,pleroma,2.4.53-1855-g9c48cbbc.develop+soapbox
1,pleroma,2.4.53-1835-gad014adc.develop+soapbox
1,pleroma,2.4.53-1622-gec4b8ab4+soapbox
1,pleroma,2.4.53-1577-gcce90832.develop+soapbox
1,pleroma,2.4.53-1560-g13c61e59.develop+soapbox
1,pleroma,2.4.53-1535-geca1f581.develop+soapbox
1,pleroma,2.4.53-1520-g064be8fe-froth
1,pleroma,2.4.53-0-g95f4049c6-ryona-dev
1,pleroma,2.4.53-0-g4f3a767d1.develop+soapbox
1,pleroma,2.4.53-0-g088916ef7
1,pleroma,2.4.53
1,pleroma,2.4.52-836-g3f1c31b7
1,pleroma,2.4.52-829-g50defbeb-bbs-kawa-kun-com
1,pleroma,2.4.52-823-g0b9f01c9-develop
1,pleroma,2.4.52-686-g497cd5d5-develop
1,pleroma,2.4.52-665-ga022b9d7-develop
1,pleroma,2.4.52-646-gb2ba307f-develop
1,pleroma,2.4.52-614-g0814d0e0-develop
1,pleroma,2.4.52-537-g3fb91716-develop
1,pleroma,2.4.52-486-g75f912c6-develop
1,pleroma,2.4.52-479-g4605efe2-develop
1,pleroma,2.4.52-477-g214ef7ff-develop
1,pleroma,2.4.52-477-g214ef7ff
1,pleroma,2.4.52-1751-gc6e4a123.develop+soapbox
1,pleroma,2.4.52-1735-g31d5a606.develop+soapbox
1,pleroma,2.4.52-1589-ge94b7305.develop+soapbox
1,pleroma,2.4.52-1478-g3b964ee5.develop+soapbox
1,pleroma,2.4.52-1441-g5a3949ed.develop+soapbox
1,pleroma,2.4.52-1299-g78dd3bdb.develop+soapbox
1,pleroma,2.4.52-1204-ga4877572.edits+soapbox
1,pleroma,2.4.52-0-g55e37ba80
